2026-08-24 18:39:16.301 [restartedMain] INFO  c.tmt.TMLibrary.TmLibraryApplication - Starting TmLibraryApplication using Java 25.0.3 with PID 65320 (/home/tmt/JavaPractice/Maven/my-admin-project/TMLibrary/target/classes started by tmt in /home/tmt/JavaPractice/Maven/my-admin-project/TMLibrary)
2026-08-24 18:39:16.303 [restartedMain] INFO  c.tmt.TMLibrary.TmLibraryApplication - The following 1 profile is active: "dev"
2026-08-24 18:39:16.335 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2026-08-24 18:39:16.336 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2026-08-24 18:39:16.423 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 9.1.0.Final
2026-08-24 18:39:17.060 [restartedMain] INFO  o.s.boot.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
2026-08-24 18:39:17.067 [restartedMain] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2026-08-24 18:39:17.069 [restartedMain] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2026-08-24 18:39:17.069 [restartedMain] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/11.0.22]
2026-08-24 18:39:17.087 [restartedMain] INFO  o.s.b.w.c.s.WebApplicationContextInitializer - Root WebApplicationContext: initialization completed in 751 ms
2026-08-24 18:39:17.553 [restartedMain] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2026-08-24 18:39:17.561 [restartedMain] INFO  o.s.boot.tomcat.TomcatWebServer - Tomcat started on port 8080 (http) with context path '/'
2026-08-24 18:39:17.564 [restartedMain] INFO  c.tmt.TMLibrary.TmLibraryApplication - Started TmLibraryApplication in 1.669 seconds (process running for 2.004)
2026-08-24 18:40:04.850 [SpringApplicationShutdownHook] INFO  o.s.boot.tomcat.GracefulShutdown - Commencing graceful shutdown. Waiting for active requests to complete
2026-08-24 18:40:04.859 [tomcat-shutdown] INFO  o.s.boot.tomcat.GracefulShutdown - Graceful shutdown complete
