2026-09-04 15:24:53.217 [restartedMain] INFO  c.tmt.TMLibrary.TmLibraryApplication - Starting TmLibraryApplication using Java 25.0.4 with PID 2866 (/home/tmt/JavaPractice/Maven/my-admin-project/TMLibrary/target/classes started by tmt in /home/tmt/JavaPractice/Maven/my-admin-project/TMLibrary)
2026-09-04 15:24:53.222 [restartedMain] INFO  c.tmt.TMLibrary.TmLibraryApplication - The following 1 profile is active: "dev"
2026-09-04 15:24:53.258 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2026-09-04 15:24:53.258 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2026-09-04 15:24:53.374 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 9.1.0.Final
2026-09-04 15:24:53.783 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2026-09-04 15:24:53.785 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2026-09-04 15:24:53.811 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 13 ms. Found 0 Redis repository interfaces.
2026-09-04 15:24:54.341 [restartedMain] INFO  o.s.boot.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
2026-09-04 15:24:54.350 [restartedMain] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2026-09-04 15:24:54.352 [restartedMain] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2026-09-04 15:24:54.352 [restartedMain] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/11.0.22]
2026-09-04 15:24:54.369 [restartedMain] INFO  o.s.b.w.c.s.WebApplicationContextInitializer - Root WebApplicationContext: initialization completed in 1110 ms
2026-09-04 15:24:55.445 [restartedMain] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2026-09-04 15:24:55.459 [restartedMain] INFO  o.s.boot.tomcat.TomcatWebServer - Tomcat started on port 8080 (http) with context path '/'
2026-09-04 15:24:55.465 [restartedMain] INFO  c.tmt.TMLibrary.TmLibraryApplication - Started TmLibraryApplication in 2.671 seconds (process running for 3.021)
2026-09-04 15:26:15.412 [http-nio-8080-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2026-09-04 15:26:15.412 [http-nio-8080-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2026-09-04 15:26:15.413 [http-nio-8080-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 1 ms
2026-09-04 15:55:51.763 [SpringApplicationShutdownHook] INFO  o.s.boot.tomcat.GracefulShutdown - Commencing graceful shutdown. Waiting for active requests to complete
2026-09-04 15:55:51.773 [tomcat-shutdown] INFO  o.s.boot.tomcat.GracefulShutdown - Graceful shutdown complete
